"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Antonio Brown",9600,"Pit@Phi 04:25PM ET",21.750,"Pit"
"WR","Julio Jones",9500,"Atl@NO 08:30PM ET",20.600,"Atl"
"WR","Odell Beckham Jr.",9100,"Was@NYG 01:00PM ET",13.950,"NYG"
"WR","DeAndre Hopkins",8600,"Hou@NE 08:25PM ET",21.850,"Hou"
"WR","Dez Bryant",8400,"Chi@Dal 08:30PM ET",11.000,"Dal"
"WR","A.J. Green",8100,"Den@Cin 01:00PM ET",22.400,"Cin"
"WR","Alshon Jeffery",8000,"Chi@Dal 08:30PM ET",16.050,"Chi"
"QB","Drew Brees",7900,"Atl@NO 08:30PM ET",24.970,"NO"
"WR","Brandin Cooks",7900,"Atl@NO 08:30PM ET",25.100,"NO"
"QB","Cam Newton",7800,"Min@Car 01:00PM ET",28.490,"Car"
"RB","David Johnson",7700,"Ari@Buf 01:00PM ET",20.250,"Ari"
"WR","Amari Cooper",7700,"Oak@Ten 01:00PM ET",18.400,"Oak"
"QB","Aaron Rodgers",7700,"Det@GB 01:00PM ET",21.490,"GB"
"QB","Andrew Luck",7600,"SD@Ind 04:25PM ET",25.290,"Ind"
"WR","Allen Robinson",7500,"Bal@Jax 01:00PM ET",10.800,"Jax"
"RB","DeAngelo Williams",7500,"Pit@Phi 04:25PM ET",30.650,"Pit"
"WR","Jordy Nelson",7400,"Det@GB 01:00PM ET",16.750,"GB"
"QB","Matt Ryan",7400,"Atl@NO 08:30PM ET",29.600,"Atl"
"WR","Randall Cobb",7300,"Det@GB 01:00PM ET",11.050,"GB"
"RB","C.J. Anderson",7300,"Den@Cin 01:00PM ET",24.100,"Den"
"WR","Brandon Marshall",7300,"NYJ@KC 04:25PM ET",12.650,"NYJ"
"QB","Ben Roethlisberger",7300,"Pit@Phi 04:25PM ET",23.780,"Pit"
"RB","Lamar Miller",7200,"Hou@NE 08:25PM ET",15.200,"Hou"
"QB","Carson Palmer",7200,"Ari@Buf 01:00PM ET",23.050,"Ari"
"WR","Kelvin Benjamin",7200,"Min@Car 01:00PM ET",26.950,"Car"
"RB","Todd Gurley",7100,"LA@TB 04:05PM ET",6.600,"LA"
"QB","Russell Wilson",7100,"SF@Sea 04:05PM ET",12.740,"Sea"
"WR","Jordan Matthews",7100,"Pit@Phi 04:25PM ET",20.250,"Phi"
"QB","Eli Manning",7000,"Was@NYG 01:00PM ET",17.800,"NYG"
"WR","Mike Evans",7000,"LA@TB 04:05PM ET",19.950,"TB"
"RB","Matt Forte",7000,"NYJ@KC 04:25PM ET",27.200,"NYJ"
"WR","Larry Fitzgerald",6900,"Ari@Buf 01:00PM ET",23.600,"Ari"
"QB","Derek Carr",6900,"Oak@Ten 01:00PM ET",25.160,"Oak"
"WR","Eric Decker",6900,"NYJ@KC 04:25PM ET",19.650,"NYJ"
"RB","Ezekiel Elliott",6900,"Chi@Dal 08:30PM ET",13.950,"Dal"
"TE","Rob Gronkowski",6800,"Hou@NE 08:25PM ET",0,"NE"
"QB","Matthew Stafford",6800,"Det@GB 01:00PM ET",22.800,"Det"
"WR","T.Y. Hilton",6800,"SD@Ind 04:25PM ET",11.000,"Ind"
"RB","Adrian Peterson",6700,"Min@Car 01:00PM ET",3.850,"Min"
"QB","Philip Rivers",6700,"SD@Ind 04:25PM ET",19.710,"SD"
"WR","Donte Moncrief",6700,"SD@Ind 04:25PM ET",10.150,"Ind"
"WR","Jarvis Landry",6600,"Cle@Mia 01:00PM ET",19.200,"Mia"
"RB","LeSean McCoy",6500,"Ari@Buf 01:00PM ET",15.000,"Buf"
"TE","Jordan Reed",6500,"Was@NYG 01:00PM ET",12.700,"Was"
"QB","Blake Bortles",6500,"Bal@Jax 01:00PM ET",21.780,"Jax"
"WR","Willie Snead",6500,"Atl@NO 08:30PM ET",25.800,"NO"
"WR","Julian Edelman",6400,"Hou@NE 08:25PM ET",14.900,"NE"
"QB","Kirk Cousins",6400,"Was@NYG 01:00PM ET",18.760,"Was"
"WR","Demaryius Thomas",6400,"Den@Cin 01:00PM ET",12.400,"Den"
"RB","DeMarco Murray",6300,"Oak@Ten 01:00PM ET",22.600,"Ten"
"WR","Doug Baldwin",6300,"SF@Sea 04:05PM ET",14.600,"Sea"
"QB","Ryan Tannehill",6200,"Cle@Mia 01:00PM ET",21.560,"Mia"
"WR","Marvin Jones Jr.",6200,"Det@GB 01:00PM ET",17.650,"Det"
"WR","Sammy Watkins",6100,"Ari@Buf 01:00PM ET",6.150,"Buf"
"QB","Joe Flacco",6100,"Bal@Jax 01:00PM ET",17.100,"Bal"
"RB","Eddie Lacy",6100,"Det@GB 01:00PM ET",6.900,"GB"
"QB","Brock Osweiler",6000,"Hou@NE 08:25PM ET",15.030,"Hou"
"WR","Michael Crabtree",6000,"Oak@Ten 01:00PM ET",15.400,"Oak"
"WR","Emmanuel Sanders",6000,"Den@Cin 01:00PM ET",8.400,"Den"
"QB","Jameis Winston",6000,"LA@TB 04:05PM ET",18.080,"TB"
"WR","Jeremy Maclin",6000,"NYJ@KC 04:25PM ET",15.000,"KC"
"QB","Tony Romo",6000,"Chi@Dal 08:30PM ET",0,"Dal"
"QB","Marcus Mariota",5900,"Oak@Ten 01:00PM ET",18.180,"Ten"
"WR","DeSean Jackson",5900,"Was@NYG 01:00PM ET",13.100,"Was"
"WR","Golden Tate",5900,"Det@GB 01:00PM ET",7.300,"Det"
"QB","Ryan Fitzpatrick",5900,"NYJ@KC 04:25PM ET",20.060,"NYJ"
"RB","Mark Ingram",5900,"Atl@NO 08:30PM ET",9.700,"NO"
"QB","Tyrod Taylor",5800,"Ari@Buf 01:00PM ET",15.460,"Buf"
"WR","Michael Floyd",5800,"Ari@Buf 01:00PM ET",8.950,"Ari"
"TE","Greg Olsen",5800,"Min@Car 01:00PM ET",20.250,"Car"
"QB","Alex Smith",5800,"NYJ@KC 04:25PM ET",18.830,"KC"
"RB","Melvin Gordon",5800,"SD@Ind 04:25PM ET",20.850,"SD"
"RB","Ryan Mathews",5800,"Pit@Phi 04:25PM ET",15.100,"Phi"
"RB","Devonta Freeman",5800,"Atl@NO 08:30PM ET",8.650,"Atl"
"RB","Latavius Murray",5700,"Oak@Ten 01:00PM ET",18.150,"Oak"
"QB","Andy Dalton",5700,"Den@Cin 01:00PM ET",21.840,"Cin"
"RB","Doug Martin",5700,"LA@TB 04:05PM ET",8.450,"TB"
"RB","Spencer Ware",5700,"NYJ@KC 04:25PM ET",23.700,"KC"
"QB","Dak Prescott",5700,"Chi@Dal 08:30PM ET",14.280,"Dal"
"WR","Mohamed Sanu",5700,"Atl@NO 08:30PM ET",12.950,"Atl"
"QB","Jimmy Garoppolo",5600,"Hou@NE 08:25PM ET",18.670,"NE"
"QB","Josh McCown",5600,"Cle@Mia 01:00PM ET",16.400,"Cle"
"RB","T.J. Yeldon",5600,"Bal@Jax 01:00PM ET",14.350,"Jax"
"RB","Jamaal Charles",5600,"NYJ@KC 04:25PM ET",0,"KC"
"QB","Jay Cutler",5600,"Chi@Dal 08:30PM ET",8.560,"Chi"
"WR","Sterling Shepard",5500,"Was@NYG 01:00PM ET",18.000,"NYG"
"RB","Arian Foster",5500,"Cle@Mia 01:00PM ET",6.950,"Mia"
"RB","Thomas Rawls",5500,"SF@Sea 04:05PM ET",6.300,"Sea"
"QB","Carson Wentz",5500,"Pit@Phi 04:25PM ET",15.910,"Phi"
"RB","Danny Woodhead",5400,"SD@Ind 04:25PM ET",13.550,"SD"
"WR","Corey Coleman",5300,"Cle@Mia 01:00PM ET",19.650,"Cle"
"QB","Sam Bradford",5300,"Min@Car 01:00PM ET",19.140,"Min"
"WR","Allen Hurns",5200,"Bal@Jax 01:00PM ET",11.450,"Jax"
"WR","Travis Benjamin",5200,"SD@Ind 04:25PM ET",21.300,"SD"
"RB","Jeremy Langford",5200,"Chi@Dal 08:30PM ET",11.850,"Chi"
"RB","Rashad Jennings",5100,"Was@NYG 01:00PM ET",7.400,"NYG"
"QB","Trevor Siemian",5100,"Den@Cin 01:00PM ET",11.730,"Den"
"WR","Stefon Diggs",5100,"Min@Car 01:00PM ET",28.200,"Min"
"QB","Brandon Weeden",5000,"Hou@NE 08:25PM ET",0,"Hou"
"QB","Tom Savage",5000,"Hou@NE 08:25PM ET",0,"Hou"
"QB","Jacoby Brissett",5000,"Hou@NE 08:25PM ET",4.880,"NE"
"QB","Drew Stanton",5000,"Ari@Buf 01:00PM ET",0.440,"Ari"
"QB","EJ Manuel",5000,"Ari@Buf 01:00PM ET",0.600,"Buf"
"QB","Cardale Jones",5000,"Ari@Buf 01:00PM ET",0,"Buf"
"QB","Matt Cassel",5000,"Oak@Ten 01:00PM ET",-0.100,"Ten"
"QB","Matt McGloin",5000,"Oak@Ten 01:00PM ET",0.000,"Oak"
"QB","Connor Cook",5000,"Oak@Ten 01:00PM ET",0,"Oak"
"TE","Delanie Walker",5000,"Oak@Ten 01:00PM ET",13.750,"Ten"
"QB","Josh Johnson",5000,"Was@NYG 01:00PM ET",0,"NYG"
"QB","Colt McCoy",5000,"Was@NYG 01:00PM ET",0,"Was"
"QB","Ryan Nassib",5000,"Was@NYG 01:00PM ET",0,"NYG"
"QB","Nate Sudfeld",5000,"Was@NYG 01:00PM ET",0,"Was"
"QB","Matt Moore",5000,"Cle@Mia 01:00PM ET",0,"Mia"
"QB","Cody Kessler",5000,"Cle@Mia 01:00PM ET",0,"Cle"
"QB","Chad Henne",5000,"Bal@Jax 01:00PM ET",0,"Jax"
"QB","Ryan Mallett",5000,"Bal@Jax 01:00PM ET",0,"Bal"
"QB","Brandon Allen",5000,"Bal@Jax 01:00PM ET",0,"Jax"
"WR","Mike Wallace",5000,"Bal@Jax 01:00PM ET",19.650,"Bal"
"QB","Dan Orlovsky",5000,"Det@GB 01:00PM ET",0,"Det"
"QB","Brett Hundley",5000,"Det@GB 01:00PM ET",0,"GB"
"QB","Joe Callahan",5000,"Det@GB 01:00PM ET",0,"GB"
"QB","Austin Davis",5000,"Den@Cin 01:00PM ET",0,"Den"
"QB","AJ McCarron",5000,"Den@Cin 01:00PM ET",0,"Cin"
"QB","Jeff Driskel",5000,"Den@Cin 01:00PM ET",0,"Cin"
"QB","Paxton Lynch",5000,"Den@Cin 01:00PM ET",0,"Den"
"QB","Derek Anderson",5000,"Min@Car 01:00PM ET",0,"Car"
"QB","Shaun Hill",5000,"Min@Car 01:00PM ET",10.240,"Min"
"QB","Joe Webb",5000,"Min@Car 01:00PM ET",0.000,"Car"
"QB","Case Keenum",5000,"LA@TB 04:05PM ET",7.130,"LA"
"QB","Mike Glennon",5000,"LA@TB 04:05PM ET",0,"TB"
"QB","Ryan Griffin",5000,"LA@TB 04:05PM ET",0,"TB"
"QB","Sean Mannion",5000,"LA@TB 04:05PM ET",0,"LA"
"QB","Jared Goff",5000,"LA@TB 04:05PM ET",0.000,"LA"
"QB","Colin Kaepernick",5000,"SF@Sea 04:05PM ET",0.000,"SF"
"QB","Christian Ponder",5000,"SF@Sea 04:05PM ET",0,"SF"
"QB","Blaine Gabbert",5000,"SF@Sea 04:05PM ET",18.610,"SF"
"QB","Trevone Boykin",5000,"SF@Sea 04:05PM ET",0.000,"Sea"
"RB","Christine Michael",5000,"SF@Sea 04:05PM ET",9.850,"Sea"
"QB","Nick Foles",5000,"NYJ@KC 04:25PM ET",0,"KC"
"QB","Bryce Petty",5000,"NYJ@KC 04:25PM ET",0,"NYJ"
"QB","Geno Smith",5000,"NYJ@KC 04:25PM ET",0,"NYJ"
"QB","Tyler Bray",5000,"NYJ@KC 04:25PM ET",0,"KC"
"QB","Christian Hackenberg",5000,"NYJ@KC 04:25PM ET",0,"NYJ"
"QB","Kellen Clemens",5000,"SD@Ind 04:25PM ET",-0.100,"SD"
"QB","Scott Tolzien",5000,"SD@Ind 04:25PM ET",0,"Ind"
"RB","Frank Gore",5000,"SD@Ind 04:25PM ET",13.550,"Ind"
"QB","Chase Daniel",5000,"Pit@Phi 04:25PM ET",0,"Phi"
"QB","Landry Jones",5000,"Pit@Phi 04:25PM ET",0,"Pit"
"QB","Zach Mettenberger",5000,"Pit@Phi 04:25PM ET",0,"Pit"
"QB","Brian Hoyer",5000,"Chi@Dal 08:30PM ET",3.120,"Chi"
"QB","Mark Sanchez",5000,"Chi@Dal 08:30PM ET",0,"Dal"
"QB","Matt Schaub",5000,"Atl@NO 08:30PM ET",0.000,"Atl"
"QB","Luke McCown",5000,"Atl@NO 08:30PM ET",0,"NO"
"WR","DeVante Parker",4900,"Cle@Mia 01:00PM ET",21.600,"Mia"
"RB","Theo Riddick",4900,"Det@GB 01:00PM ET",19.150,"Det"
"RB","Charles Sims",4900,"LA@TB 04:05PM ET",9.450,"TB"
"WR","Will Fuller",4800,"Hou@NE 08:25PM ET",21.050,"Hou"
"WR","John Brown",4800,"Ari@Buf 01:00PM ET",2.100,"Ari"
"RB","Jonathan Stewart",4800,"Min@Car 01:00PM ET",5.000,"Car"
"WR","Quincy Enunwa",4800,"NYJ@KC 04:25PM ET",16.800,"NYJ"
"TE","Martellus Bennett",4700,"Hou@NE 08:25PM ET",14.900,"NE"
"WR","Tajae Sharpe",4700,"Oak@Ten 01:00PM ET",10.950,"Ten"
"WR","Victor Cruz",4700,"Was@NYG 01:00PM ET",12.750,"NYG"
"RB","Isaiah Crowell",4700,"Cle@Mia 01:00PM ET",20.300,"Cle"
"TE","Travis Kelce",4700,"NYJ@KC 04:25PM ET",10.900,"KC"
"TE","Julius Thomas",4600,"Bal@Jax 01:00PM ET",14.250,"Jax"
"RB","Ameer Abdullah",4600,"Det@GB 01:00PM ET",13.400,"Det"
"TE","Antonio Gates",4600,"SD@Ind 04:25PM ET",7.750,"SD"
"WR","Markus Wheaton",4600,"Pit@Phi 04:25PM ET",0,"Pit"
"TE","Tyler Eifert",4500,"Den@Cin 01:00PM ET",0,"Cin"
"RB","Tevin Coleman",4500,"Atl@NO 08:30PM ET",15.900,"Atl"
"RB","LeGarrette Blount",4400,"Hou@NE 08:25PM ET",16.650,"NE"
"RB","Carlos Hyde",4400,"SF@Sea 04:05PM ET",15.250,"SF"
"WR","Phillip Dorsett",4400,"SD@Ind 04:25PM ET",8.700,"Ind"
"RB","Giovani Bernard",4300,"Den@Cin 01:00PM ET",16.850,"Cin"
"WR","Torrey Smith",4300,"SF@Sea 04:05PM ET",8.900,"SF"
"WR","Tyrell Williams",4300,"SD@Ind 04:25PM ET",12.100,"SD"
"TE","Jason Witten",4300,"Chi@Dal 08:30PM ET",11.850,"Dal"
"RB","James White",4200,"Hou@NE 08:25PM ET",7.150,"NE"
"RB","Duke Johnson Jr.",4200,"Cle@Mia 01:00PM ET",8.800,"Cle"
"WR","Anquan Boldin",4200,"Det@GB 01:00PM ET",10.650,"Det"
"WR","Tyler Lockett",4200,"SF@Sea 04:05PM ET",9.300,"Sea"
"WR","Michael Thomas",4200,"Atl@NO 08:30PM ET",10.700,"NO"
"RB","Matt Jones",4100,"Was@NYG 01:00PM ET",8.900,"Was"
"WR","Steve Smith Sr.",4100,"Bal@Jax 01:00PM ET",8.150,"Bal"
"WR","Davante Adams",4100,"Det@GB 01:00PM ET",9.300,"GB"
"WR","Devin Funchess",4100,"Min@Car 01:00PM ET",5.900,"Car"
"WR","Tavon Austin",4100,"LA@TB 04:05PM ET",8.050,"LA"
"DST","Seahawks ",4100,"SF@Sea 04:05PM ET",9.000,"Sea"
"RB","Jay Ajayi",4000,"Cle@Mia 01:00PM ET",7.500,"Mia"
"TE","Gary Barnidge",4000,"Cle@Mia 01:00PM ET",3.850,"Cle"
"RB","James Starks",4000,"Det@GB 01:00PM ET",2.600,"GB"
"WR","Kevin White",4000,"Chi@Dal 08:30PM ET",7.450,"Chi"
"WR","Chris Hogan",3900,"Hou@NE 08:25PM ET",12.450,"NE"
"WR","Pierre Garcon",3900,"Was@NYG 01:00PM ET",7.800,"Was"
"RB","Justin Forsett",3900,"Bal@Jax 01:00PM ET",7.600,"Bal"
"RB","Chris Ivory",3900,"Bal@Jax 01:00PM ET",0,"Jax"
"WR","Vincent Jackson",3900,"LA@TB 04:05PM ET",6.100,"TB"
"WR","Kenny Britt",3900,"LA@TB 04:05PM ET",13.050,"LA"
"WR","Eli Rogers",3900,"Pit@Phi 04:25PM ET",9.900,"Pit"
"TE","Zach Ertz",3900,"Pit@Phi 04:25PM ET",11.800,"Phi"
"WR","Jamison Crowder",3800,"Was@NYG 01:00PM ET",13.850,"Was"
"RB","Fozzy Whittaker",3800,"Min@Car 01:00PM ET",10.400,"Car"
"RB","Jerick McKinnon",3800,"Min@Car 01:00PM ET",1.500,"Min"
"DST","Panthers ",3800,"Min@Car 01:00PM ET",11.000,"Car"
"TE","Dwayne Allen",3800,"SD@Ind 04:25PM ET",10.900,"Ind"
"WR","Sammie Coates",3800,"Pit@Phi 04:25PM ET",9.950,"Pit"
"WR","Danny Amendola",3700,"Hou@NE 08:25PM ET",13.800,"NE"
"RB","Derrick Henry",3700,"Oak@Ten 01:00PM ET",6.150,"Ten"
"RB","Shane Vereen",3700,"Was@NYG 01:00PM ET",8.850,"NYG"
"TE","Eric Ebron",3700,"Det@GB 01:00PM ET",12.450,"Det"
"RB","Jeremy Hill",3700,"Den@Cin 01:00PM ET",9.000,"Cin"
"WR","Ted Ginn Jr.",3700,"Min@Car 01:00PM ET",5.050,"Car"
"RB","Darren Sproles",3700,"Pit@Phi 04:25PM ET",6.200,"Phi"
"RB","Alfred Morris",3700,"Chi@Dal 08:30PM ET",5.100,"Dal"
"RB","Andre Ellington",3600,"Ari@Buf 01:00PM ET",2.450,"Ari"
"DST","Cardinals ",3600,"Ari@Buf 01:00PM ET",14.500,"Ari"
"RB","Jalen Richard",3600,"Oak@Ten 01:00PM ET",10.600,"Oak"
"RB","Kenyan Drake",3600,"Cle@Mia 01:00PM ET",4.900,"Mia"
"WR","Kenny Stills",3600,"Cle@Mia 01:00PM ET",7.250,"Mia"
"RB","Dwayne Washington",3600,"Det@GB 01:00PM ET",4.600,"Det"
"WR","Dontrelle Inman",3600,"SD@Ind 04:25PM ET",1.650,"SD"
"RB","Chris Johnson",3500,"Ari@Buf 01:00PM ET",5.800,"Ari"
"WR","Seth Roberts",3500,"Oak@Ten 01:00PM ET",7.700,"Oak"
"RB","Terrance West",3500,"Bal@Jax 01:00PM ET",6.250,"Bal"
"WR","Tyler Boyd",3500,"Den@Cin 01:00PM ET",8.600,"Cin"
"DST","Broncos ",3500,"Den@Cin 01:00PM ET",14.000,"Den"
"RB","Charcandrick West",3500,"NYJ@KC 04:25PM ET",7.800,"KC"
"WR","Nelson Agholor",3500,"Pit@Phi 04:25PM ET",11.950,"Phi"
"TE","Jesse James",3500,"Pit@Phi 04:25PM ET",10.000,"Pit"
"WR","Eddie Royal",3500,"Chi@Dal 08:30PM ET",15.450,"Chi"
"RB","Alfred Blue",3400,"Hou@NE 08:25PM ET",0.750,"Hou"
"RB","DeAndre Washington",3400,"Oak@Ten 01:00PM ET",4.800,"Oak"
"WR","Andre Johnson",3400,"Oak@Ten 01:00PM ET",6.950,"Ten"
"RB","Chris Thompson",3400,"Was@NYG 01:00PM ET",10.350,"Was"
"WR","Terrelle Pryor Sr.",3400,"Cle@Mia 01:00PM ET",8.000,"Cle"
"TE","Dennis Pitta",3400,"Bal@Jax 01:00PM ET",14.550,"Bal"
"WR","Brandon LaFell",3400,"Den@Cin 01:00PM ET",10.000,"Cin"
"RB","Benny Cunningham",3400,"LA@TB 04:05PM ET",1.850,"LA"
"RB","Shaun Draughn",3400,"SF@Sea 04:05PM ET",6.350,"SF"
"WR","Jeremy Kerley",3400,"SF@Sea 04:05PM ET",9.500,"SF"
"WR","Jermaine Kearse",3400,"SF@Sea 04:05PM ET",6.900,"Sea"
"RB","Bilal Powell",3400,"NYJ@KC 04:25PM ET",4.050,"NYJ"
"WR","Jaelen Strong",3300,"Hou@NE 08:25PM ET",0.000,"Hou"
"RB","Mike Gillislee",3300,"Ari@Buf 01:00PM ET",4.700,"Buf"
"WR","Jaron Brown",3300,"Ari@Buf 01:00PM ET",9.300,"Ari"
"WR","Rishard Matthews",3300,"Oak@Ten 01:00PM ET",6.800,"Ten"
"DST","Giants ",3300,"Was@NYG 01:00PM ET",7.500,"NYG"
"RB","C.J. Prosise",3300,"SF@Sea 04:05PM ET",2.100,"Sea"
"RB","Jordan Howard",3300,"Chi@Dal 08:30PM ET",5.100,"Chi"
"WR","Terrance Williams",3300,"Chi@Dal 08:30PM ET",3.200,"Dal"
"RB","Tim Hightower",3300,"Atl@NO 08:30PM ET",1.450,"NO"
"TE","Coby Fleener",3300,"Atl@NO 08:30PM ET",3.250,"NO"
"DST","Patriots ",3200,"Hou@NE 08:25PM ET",5.500,"NE"
"RB","Reggie Bush",3200,"Ari@Buf 01:00PM ET",-0.200,"Buf"
"WR","Robert Woods",3200,"Ari@Buf 01:00PM ET",4.000,"Buf"
"WR","Jeff Janis",3200,"Det@GB 01:00PM ET",0.000,"GB"
"WR","Adam Thielen",3200,"Min@Car 01:00PM ET",8.750,"Min"
"DST","Chiefs ",3200,"NYJ@KC 04:25PM ET",4.000,"KC"
"WR","Darrius Heyward-Bey",3200,"Pit@Phi 04:25PM ET",0.850,"Pit"
"WR","Dorial Green-Beckham",3200,"Pit@Phi 04:25PM ET",3.600,"Phi"
"WR","Cole Beasley",3200,"Chi@Dal 08:30PM ET",13.500,"Dal"
"TE","Jacob Tamme",3200,"Atl@NO 08:30PM ET",14.800,"Atl"
"WR","Kamar Aiken",3100,"Bal@Jax 01:00PM ET",1.700,"Bal"
"WR","Laquon Treadwell",3100,"Min@Car 01:00PM ET",0.000,"Min"
"TE","Kyle Rudolph",3100,"Min@Car 01:00PM ET",11.300,"Min"
"DST","Vikings ",3100,"Min@Car 01:00PM ET",16.500,"Min"
"DST","Buccaneers ",3100,"LA@TB 04:05PM ET",1.500,"TB"
"WR","Quinton Patton",3100,"SF@Sea 04:05PM ET",8.250,"SF"
"WR","Chris Conley",3100,"NYJ@KC 04:25PM ET",5.900,"KC"
"RB","Ka'Deem Carey",3100,"Chi@Dal 08:30PM ET",1.000,"Chi"
