"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Travaris Cadet",3100,"Atl@NO 08:30PM ET",7.100,"NO"
"RB","James Develin",3000,"Hou@NE 08:25PM ET",0.000,"NE"
"RB","Jonathan Grimes",3000,"Hou@NE 08:25PM ET",1.550,"Hou"
"RB","Brandon Bolden",3000,"Hou@NE 08:25PM ET",0.200,"NE"
"RB","Jay Prosch",3000,"Hou@NE 08:25PM ET",0.100,"Hou"
"RB","Tyler Ervin",3000,"Hou@NE 08:25PM ET",0.900,"Hou"
"RB","D.J. Foster",3000,"Hou@NE 08:25PM ET",1.900,"NE"
"WR","Matthew Slater",3000,"Hou@NE 08:25PM ET",0.000,"NE"
"WR","Keith Mumphery",3000,"Hou@NE 08:25PM ET",0,"Hou"
"WR","Braxton Miller",3000,"Hou@NE 08:25PM ET",1.350,"Hou"
"WR","Malcolm Mitchell",3000,"Hou@NE 08:25PM ET",3.900,"NE"
"DST","Texans ",3000,"Hou@NE 08:25PM ET",11.000,"Hou"
"RB","Jerome Felton",3000,"Ari@Buf 01:00PM ET",0.000,"Buf"
"RB","Stepfan Taylor",3000,"Ari@Buf 01:00PM ET",0.000,"Ari"
"RB","Jonathan Williams",3000,"Ari@Buf 01:00PM ET",0,"Buf"
"WR","Brandon Tate",3000,"Ari@Buf 01:00PM ET",0.000,"Buf"
"WR","Greg Salas",3000,"Ari@Buf 01:00PM ET",9.450,"Buf"
"WR","Marquise Goodwin",3000,"Ari@Buf 01:00PM ET",11.100,"Buf"
"WR","Walt Powell",3000,"Ari@Buf 01:00PM ET",0.000,"Buf"
"WR","J.J. Nelson",3000,"Ari@Buf 01:00PM ET",2.100,"Ari"
"RB","Taiwan Jones",3000,"Oak@Ten 01:00PM ET",1.450,"Oak"
"RB","Jalston Fowler",3000,"Oak@Ten 01:00PM ET",0.000,"Ten"
"RB","Jamize Olawale",3000,"Oak@Ten 01:00PM ET",6.050,"Oak"
"RB","Antonio Andrews",3000,"Oak@Ten 01:00PM ET",0.000,"Ten"
"WR","Harry Douglas",3000,"Oak@Ten 01:00PM ET",2.050,"Ten"
"WR","Marc Mariani",3000,"Oak@Ten 01:00PM ET",0.000,"Ten"
"WR","Kendall Wright",3000,"Oak@Ten 01:00PM ET",0,"Ten"
"WR","Andre Holmes",3000,"Oak@Ten 01:00PM ET",3.800,"Oak"
"WR","Johnny Holton",3000,"Oak@Ten 01:00PM ET",1.400,"Oak"
"RB","Bobby Rainey",3000,"Was@NYG 01:00PM ET",0.000,"NYG"
"RB","Orleans Darkwa",3000,"Was@NYG 01:00PM ET",0.600,"NYG"
"RB","Rob Kelley",3000,"Was@NYG 01:00PM ET",0,"Was"
"RB","Paul Perkins",3000,"Was@NYG 01:00PM ET",0,"NYG"
"WR","Dwayne Harris",3000,"Was@NYG 01:00PM ET",0.000,"NYG"
"WR","Tavarres King",3000,"Was@NYG 01:00PM ET",0.000,"NYG"
"WR","Ryan Grant",3000,"Was@NYG 01:00PM ET",0.750,"Was"
"WR","Josh Doctson",3000,"Was@NYG 01:00PM ET",4.300,"Was"
"WR","Rashad Ross",3000,"Was@NYG 01:00PM ET",0,"Was"
"WR","Roger Lewis",3000,"Was@NYG 01:00PM ET",0,"NYG"
"RB","Isaiah Pead",3000,"Cle@Mia 01:00PM ET",0,"Mia"
"RB","Malcolm Johnson",3000,"Cle@Mia 01:00PM ET",1.450,"Cle"
"RB","George Atkinson III",3000,"Cle@Mia 01:00PM ET",0.000,"Cle"
"RB","Damien Williams",3000,"Cle@Mia 01:00PM ET",4.800,"Mia"
"WR","Andrew Hawkins",3000,"Cle@Mia 01:00PM ET",2.850,"Cle"
"WR","Justin Hunter",3000,"Cle@Mia 01:00PM ET",0.000,"Mia"
"WR","Jakeem Grant",3000,"Cle@Mia 01:00PM ET",0.000,"Mia"
"WR","Jordan Payton",3000,"Cle@Mia 01:00PM ET",0,"Cle"
"WR","Ricardo Louis",3000,"Cle@Mia 01:00PM ET",0.000,"Cle"
"WR","Leonte Carroo",3000,"Cle@Mia 01:00PM ET",1.700,"Mia"
"WR","Rashard Higgins",3000,"Cle@Mia 01:00PM ET",0.000,"Cle"
"DST","Dolphins ",3000,"Cle@Mia 01:00PM ET",8.000,"Mia"
"RB","Kyle Juszczyk",3000,"Bal@Jax 01:00PM ET",3.050,"Bal"
"RB","Denard Robinson",3000,"Bal@Jax 01:00PM ET",1.550,"Jax"
"RB","Corey Grant",3000,"Bal@Jax 01:00PM ET",4.250,"Jax"
"RB","Javorius Allen",3000,"Bal@Jax 01:00PM ET",0,"Bal"
"RB","Kenneth Dixon",3000,"Bal@Jax 01:00PM ET",0,"Bal"
"WR","Devin Hester",3000,"Bal@Jax 01:00PM ET",0.000,"Bal"
"WR","Bryan Walters",3000,"Bal@Jax 01:00PM ET",0,"Jax"
"WR","Arrelious Benn",3000,"Bal@Jax 01:00PM ET",0.950,"Jax"
"WR","Marqise Lee",3000,"Bal@Jax 01:00PM ET",8.350,"Jax"
"WR","Rashad Greene",3000,"Bal@Jax 01:00PM ET",1.800,"Jax"
"WR","Chris Moore",3000,"Bal@Jax 01:00PM ET",2.100,"Bal"
"WR","Breshad Perriman",3000,"Bal@Jax 01:00PM ET",4.850,"Bal"
"RB","Michael Burton",3000,"Det@GB 01:00PM ET",0.000,"Det"
"RB","Zach Zenner",3000,"Det@GB 01:00PM ET",0,"Det"
"RB","Aaron Ripkowski",3000,"Det@GB 01:00PM ET",0.000,"GB"
"WR","Andre Roberts",3000,"Det@GB 01:00PM ET",0.900,"Det"
"WR","Jared Abbrederis",3000,"Det@GB 01:00PM ET",0.900,"GB"
"WR","Ty Montgomery",3000,"Det@GB 01:00PM ET",0.000,"GB"
"WR","Trevor Davis",3000,"Det@GB 01:00PM ET",0.000,"GB"
"DST","Packers ",3000,"Det@GB 01:00PM ET",6.000,"GB"
"RB","Rex Burkhead",3000,"Den@Cin 01:00PM ET",0.000,"Cin"
"RB","Kapri Bibbs",3000,"Den@Cin 01:00PM ET",1.150,"Den"
"RB","Andy Janovich",3000,"Den@Cin 01:00PM ET",5.450,"Den"
"RB","Devontae Booker",3000,"Den@Cin 01:00PM ET",2.950,"Den"
"WR","Jordan Norwood",3000,"Den@Cin 01:00PM ET",2.700,"Den"
"WR","Bennie Fowler",3000,"Den@Cin 01:00PM ET",0,"Den"
"WR","James Wright",3000,"Den@Cin 01:00PM ET",1.550,"Cin"
"WR","Jordan Taylor",3000,"Den@Cin 01:00PM ET",1.500,"Den"
"WR","Cody Latimer",3000,"Den@Cin 01:00PM ET",1.600,"Den"
"WR","Alex Erickson",3000,"Den@Cin 01:00PM ET",1.500,"Cin"
"WR","Cody Core",3000,"Den@Cin 01:00PM ET",0,"Cin"
"TE","Virgil Green",3000,"Den@Cin 01:00PM ET",7.200,"Den"
"RB","Mike Tolbert",3000,"Min@Car 01:00PM ET",2.100,"Car"
"RB","Matt Asiata",3000,"Min@Car 01:00PM ET",2.400,"Min"
"RB","Zach Line",3000,"Min@Car 01:00PM ET",0.000,"Min"
"RB","Cameron Artis-Payne",3000,"Min@Car 01:00PM ET",0,"Car"
"WR","Charles Johnson",3000,"Min@Car 01:00PM ET",2.500,"Min"
"WR","Brenton Bersin",3000,"Min@Car 01:00PM ET",0.000,"Car"
"WR","Jarius Wright",3000,"Min@Car 01:00PM ET",0,"Min"
"WR","Corey Brown",3000,"Min@Car 01:00PM ET",3.300,"Car"
"WR","Damiere Byrd",3000,"Min@Car 01:00PM ET",0,"Car"
"WR","Cordarrelle Patterson",3000,"Min@Car 01:00PM ET",1.100,"Min"
"RB","Chase Reynolds",3000,"LA@TB 04:05PM ET",0.000,"LA"
"RB","Jacquizz Rodgers",3000,"LA@TB 04:05PM ET",2.900,"TB"
"RB","Malcolm Brown",3000,"LA@TB 04:05PM ET",1.150,"LA"
"RB","Peyton Barber",3000,"LA@TB 04:05PM ET",0.000,"TB"
"WR","Brian Quick",3000,"LA@TB 04:05PM ET",3.550,"LA"
"WR","Russell Shepard",3000,"LA@TB 04:05PM ET",2.250,"TB"
"WR","Cecil Shorts III",3000,"LA@TB 04:05PM ET",1.100,"TB"
"WR","Adam Humphries",3000,"LA@TB 04:05PM ET",9.900,"TB"
"WR","Bradley Marquez",3000,"LA@TB 04:05PM ET",0.000,"LA"
"WR","Nelson Spruce",3000,"LA@TB 04:05PM ET",0,"LA"
"WR","Pharoh Cooper",3000,"LA@TB 04:05PM ET",0,"LA"
"WR","Mike Thomas",3000,"LA@TB 04:05PM ET",0.000,"LA"
"DST","Rams ",3000,"LA@TB 04:05PM ET",6.000,"LA"
"RB","DuJuan Harris",3000,"SF@Sea 04:05PM ET",0,"SF"
"RB","Will Tukuafu",3000,"SF@Sea 04:05PM ET",0.000,"Sea"
"RB","Mike Davis",3000,"SF@Sea 04:05PM ET",1.050,"SF"
"RB","Alex Collins",3000,"SF@Sea 04:05PM ET",0.000,"Sea"
"WR","Rod Streater",3000,"SF@Sea 04:05PM ET",1.150,"SF"
"WR","Paul Richardson",3000,"SF@Sea 04:05PM ET",4.300,"Sea"
"WR","Tanner McEvoy",3000,"SF@Sea 04:05PM ET",0.000,"Sea"
"WR","Aaron Burbridge",3000,"SF@Sea 04:05PM ET",0.000,"SF"
"TE","Jimmy Graham",3000,"SF@Sea 04:05PM ET",4.650,"Sea"
"RB","Anthony Sherman",3000,"NYJ@KC 04:25PM ET",0.000,"KC"
"RB","Knile Davis",3000,"NYJ@KC 04:25PM ET",0.000,"KC"
"RB","Troymaine Pope",3000,"NYJ@KC 04:25PM ET",0,"NYJ"
"RB","Julian Howsare",3000,"NYJ@KC 04:25PM ET",0.000,"NYJ"
"WR","Albert Wilson",3000,"NYJ@KC 04:25PM ET",3.100,"KC"
"WR","Charone Peake",3000,"NYJ@KC 04:25PM ET",0.000,"NYJ"
"WR","De'Anthony Thomas",3000,"NYJ@KC 04:25PM ET",0,"KC"
"WR","Robby Anderson",3000,"NYJ@KC 04:25PM ET",0.000,"NYJ"
"WR","Demarcus Robinson",3000,"NYJ@KC 04:25PM ET",0.000,"KC"
"WR","Jalin Marshall",3000,"NYJ@KC 04:25PM ET",3.250,"NYJ"
"WR","Tyreek Hill",3000,"NYJ@KC 04:25PM ET",5.300,"KC"
"RB","Robert Turbin",3000,"SD@Ind 04:25PM ET",5.450,"Ind"
"RB","Jordan Todman",3000,"SD@Ind 04:25PM ET",0.000,"Ind"
"RB","Andre Williams",3000,"SD@Ind 04:25PM ET",0,"SD"
"RB","Josh Ferguson",3000,"SD@Ind 04:25PM ET",6.500,"Ind"
"RB","Derek Watt",3000,"SD@Ind 04:25PM ET",0.000,"SD"
"RB","Kenneth Farrow",3000,"SD@Ind 04:25PM ET",1.300,"SD"
"WR","Isaiah Burse",3000,"SD@Ind 04:25PM ET",0.000,"SD"
"WR","Quan Bray",3000,"SD@Ind 04:25PM ET",0.850,"Ind"
"WR","Chester Rogers",3000,"SD@Ind 04:25PM ET",0.000,"Ind"
"RB","Kenjon Barner",3000,"Pit@Phi 04:25PM ET",2.200,"Phi"
"RB","Fitzgerald Toussaint",3000,"Pit@Phi 04:25PM ET",1.450,"Pit"
"RB","Roosevelt Nix",3000,"Pit@Phi 04:25PM ET",0,"Pit"
"RB","Daryl Richardson",3000,"Pit@Phi 04:25PM ET",0.300,"Pit"
"RB","Wendell Smallwood",3000,"Pit@Phi 04:25PM ET",0.850,"Phi"
"WR","Josh Huff",3000,"Pit@Phi 04:25PM ET",0.450,"Phi"
"WR","Bryce Treggs",3000,"Pit@Phi 04:25PM ET",0,"Phi"
"RB","Lance Dunbar",3000,"Chi@Dal 08:30PM ET",3.900,"Dal"
"RB","Rod Smith",3000,"Chi@Dal 08:30PM ET",0.000,"Dal"
"RB","Keith Smith",3000,"Chi@Dal 08:30PM ET",0.900,"Dal"
"RB","Paul Lasike",3000,"Chi@Dal 08:30PM ET",0.100,"Chi"
"RB","Darius Jackson",3000,"Chi@Dal 08:30PM ET",0,"Dal"
"WR","Deonte Thompson",3000,"Chi@Dal 08:30PM ET",0.000,"Chi"
"WR","Brice Butler",3000,"Chi@Dal 08:30PM ET",1.300,"Dal"
"WR","Joshua Bellamy",3000,"Chi@Dal 08:30PM ET",0.000,"Chi"
"WR","Cameron Meredith",3000,"Chi@Dal 08:30PM ET",0,"Chi"
"WR","Lucky Whitehead",3000,"Chi@Dal 08:30PM ET",0.000,"Dal"
"RB","John Kuhn",3000,"Atl@NO 08:30PM ET",1.700,"NO"
"RB","Patrick DiMarco",3000,"Atl@NO 08:30PM ET",0.900,"Atl"
"RB","Marcus Murphy",3000,"Atl@NO 08:30PM ET",0.000,"NO"
"RB","Terron Ward",3000,"Atl@NO 08:30PM ET",0,"Atl"
"RB","Daniel Lasco",3000,"Atl@NO 08:30PM ET",0.000,"NO"
"WR","Eric Weems",3000,"Atl@NO 08:30PM ET",0.000,"Atl"
"WR","Aldrick Robinson",3000,"Atl@NO 08:30PM ET",3.450,"Atl"
"WR","Brandon Coleman",3000,"Atl@NO 08:30PM ET",1.750,"NO"
"WR","Justin Hardy",3000,"Atl@NO 08:30PM ET",4.400,"Atl"
"WR","Tommylee Lewis",3000,"Atl@NO 08:30PM ET",0.900,"NO"
"WR","Taylor Gabriel",3000,"Atl@NO 08:30PM ET",3.900,"Atl"
"TE","Charles Clay",2900,"Ari@Buf 01:00PM ET",6.850,"Buf"
"TE","Jordan Cameron",2900,"Cle@Mia 01:00PM ET",9.250,"Mia"
"TE","Jared Cook",2900,"Det@GB 01:00PM ET",4.400,"GB"
"TE","Austin Seferian-Jenkins",2900,"LA@TB 04:05PM ET",6.700,"TB"
"TE","Vance McDonald",2900,"SF@Sea 04:05PM ET",11.950,"SF"
"DST","Jets ",2900,"NYJ@KC 04:25PM ET",5.500,"NYJ"
"DST","Steelers ",2900,"Pit@Phi 04:25PM ET",5.500,"Pit"
"TE","Zach Miller",2900,"Chi@Dal 08:30PM ET",5.850,"Chi"
"TE","Clive Walford",2800,"Oak@Ten 01:00PM ET",11.250,"Oak"
"DST","Bengals ",2800,"Den@Cin 01:00PM ET",5.000,"Cin"
"TE","Brent Celek",2800,"Pit@Phi 04:25PM ET",1.050,"Phi"
"DST","Eagles ",2800,"Pit@Phi 04:25PM ET",10.500,"Phi"
"DST","Bills ",2700,"Ari@Buf 01:00PM ET",7.500,"Buf"
"TE","Vernon Davis",2700,"Was@NYG 01:00PM ET",6.550,"Was"
"TE","Larry Donnell",2700,"Was@NYG 01:00PM ET",7.450,"NYG"
"TE","Richard Rodgers",2700,"Det@GB 01:00PM ET",3.850,"GB"
"TE","Lance Kendricks",2700,"LA@TB 04:05PM ET",6.800,"LA"
"DST","Bears ",2700,"Chi@Dal 08:30PM ET",5.500,"Chi"
"DST","Raiders ",2600,"Oak@Ten 01:00PM ET",0.500,"Oak"
"TE","Will Tye",2600,"Was@NYG 01:00PM ET",3.800,"NYG"
"DST","Jaguars ",2600,"Bal@Jax 01:00PM ET",1.000,"Jax"
"TE","Clay Harbor",2500,"Hou@NE 08:25PM ET",0.000,"NE"
"TE","Ryan Griffin",2500,"Hou@NE 08:25PM ET",2.600,"Hou"
"TE","A.J. Derby",2500,"Hou@NE 08:25PM ET",0.000,"NE"
"TE","C.J. Fiedorowicz",2500,"Hou@NE 08:25PM ET",1.350,"Hou"
"TE","Stephen Anderson",2500,"Hou@NE 08:25PM ET",4.500,"Hou"
"TE","Darren Fells",2500,"Ari@Buf 01:00PM ET",3.550,"Ari"
"TE","Jim Dray",2500,"Ari@Buf 01:00PM ET",0.000,"Buf"
"TE","Jermaine Gresham",2500,"Ari@Buf 01:00PM ET",4.050,"Ari"
"TE","Nick O'Leary",2500,"Ari@Buf 01:00PM ET",0.000,"Buf"
"TE","Troy Niklas",2500,"Ari@Buf 01:00PM ET",0.000,"Ari"
"TE","Anthony Fasano",2500,"Oak@Ten 01:00PM ET",0.550,"Ten"
"TE","Lee Smith",2500,"Oak@Ten 01:00PM ET",3.200,"Oak"
"TE","Mychal Rivera",2500,"Oak@Ten 01:00PM ET",0,"Oak"
"TE","Beau Brinkley",2500,"Oak@Ten 01:00PM ET",0.000,"Ten"
"TE","Jace Amaro",2500,"Oak@Ten 01:00PM ET",0,"Ten"
"TE","Phillip Supernaw",2500,"Oak@Ten 01:00PM ET",0.850,"Ten"
"DST","Titans ",2500,"Oak@Ten 01:00PM ET",7.000,"Ten"
"TE","Niles Paul",2500,"Was@NYG 01:00PM ET",1.300,"Was"
"TE","Jerell Adams",2500,"Was@NYG 01:00PM ET",0.000,"NYG"
"TE","MarQueis Gray",2500,"Cle@Mia 01:00PM ET",0.000,"Mia"
"TE","Dion Sims",2500,"Cle@Mia 01:00PM ET",1.550,"Mia"
"TE","Randall Telfer",2500,"Cle@Mia 01:00PM ET",0.000,"Cle"
"TE","Seth DeValve",2500,"Cle@Mia 01:00PM ET",0.000,"Cle"
"TE","Marcedes Lewis",2500,"Bal@Jax 01:00PM ET",8.250,"Jax"
"TE","Crockett Gillmore",2500,"Bal@Jax 01:00PM ET",2.350,"Bal"
"TE","Neal Sterling",2500,"Bal@Jax 01:00PM ET",0.000,"Jax"
"TE","Ben Koyack",2500,"Bal@Jax 01:00PM ET",0.000,"Jax"
"TE","Maxx Williams",2500,"Bal@Jax 01:00PM ET",0.000,"Bal"
"DST","Ravens ",2500,"Bal@Jax 01:00PM ET",9.000,"Bal"
"TE","Andrew Quarless",2500,"Det@GB 01:00PM ET",0,"Det"
"TE","Justin Perillo",2500,"Det@GB 01:00PM ET",0.000,"GB"
"TE","Orson Charles",2500,"Det@GB 01:00PM ET",0.000,"Det"
"TE","Cole Wick",2500,"Det@GB 01:00PM ET",1.500,"Det"
"TE","Khari Lee",2500,"Det@GB 01:00PM ET",0.000,"Det"
"TE","Clark Harris",2500,"Den@Cin 01:00PM ET",0.000,"Cin"
"TE","John Phillips",2500,"Den@Cin 01:00PM ET",0.000,"Den"
"TE","Ryan Hewitt",2500,"Den@Cin 01:00PM ET",0.000,"Cin"
"TE","Tyler Kroft",2500,"Den@Cin 01:00PM ET",3.250,"Cin"
"TE","C.J. Uzomah",2500,"Den@Cin 01:00PM ET",5.900,"Cin"
"TE","Jeff Heuerman",2500,"Den@Cin 01:00PM ET",0,"Den"
"TE","Ed Dickson",2500,"Min@Car 01:00PM ET",0.000,"Car"
"TE","Rhett Ellison",2500,"Min@Car 01:00PM ET",0.000,"Min"
"TE","Kevin McDermott",2500,"Min@Car 01:00PM ET",0.000,"Min"
"TE","MyCole Pruitt",2500,"Min@Car 01:00PM ET",0,"Min"
"TE","Scott Simonson",2500,"Min@Car 01:00PM ET",0.000,"Car"
"TE","David Morgan",2500,"Min@Car 01:00PM ET",0.000,"Min"
"TE","Brandon Myers",2500,"LA@TB 04:05PM ET",3.700,"TB"
"TE","Andrew DePaola",2500,"LA@TB 04:05PM ET",0.000,"TB"
"TE","Luke Stocker",2500,"LA@TB 04:05PM ET",0.000,"TB"
"TE","Cory Harkey",2500,"LA@TB 04:05PM ET",0.000,"LA"
"TE","Cameron Brate",2500,"LA@TB 04:05PM ET",5.300,"TB"
"TE","Tyler Higbee",2500,"LA@TB 04:05PM ET",0.600,"LA"
"TE","Temarrick Hemingway",2500,"LA@TB 04:05PM ET",0.000,"LA"
"TE","Kyle Nelson",2500,"SF@Sea 04:05PM ET",0.000,"SF"
"TE","Garrett Celek",2500,"SF@Sea 04:05PM ET",2.350,"SF"
"TE","Luke Willson",2500,"SF@Sea 04:05PM ET",3.100,"Sea"
"TE","Brandon Williams",2500,"SF@Sea 04:05PM ET",0.000,"Sea"
"TE","Blake Bell",2500,"SF@Sea 04:05PM ET",0.800,"SF"
"TE","Nick Vannett",2500,"SF@Sea 04:05PM ET",0,"Sea"
"TE","Kellen Davis",2500,"NYJ@KC 04:25PM ET",0.000,"NYJ"
"TE","James Winchester",2500,"NYJ@KC 04:25PM ET",0.000,"KC"
"TE","Brandon Bostick",2500,"NYJ@KC 04:25PM ET",0.000,"NYJ"
"TE","James O'Shaughnessy",2500,"NYJ@KC 04:25PM ET",0.000,"KC"
"TE","Ross Travis",2500,"NYJ@KC 04:25PM ET",0.000,"KC"
"TE","Demetrius Harris",2500,"NYJ@KC 04:25PM ET",2.000,"KC"
"TE","Sean McGrath",2500,"SD@Ind 04:25PM ET",0.000,"SD"
"TE","Jack Doyle",2500,"SD@Ind 04:25PM ET",13.100,"Ind"
"TE","Erik Swoope",2500,"SD@Ind 04:25PM ET",0.000,"Ind"
"TE","Hunter Henry",2500,"SD@Ind 04:25PM ET",1.500,"SD"
"TE","David Johnson",2500,"Pit@Phi 04:25PM ET",0.750,"Pit"
"TE","Trey Burton",2500,"Pit@Phi 04:25PM ET",15.900,"Phi"
"TE","Xavier Grimble",2500,"Pit@Phi 04:25PM ET",5.300,"Pit"
"TE","Logan Paulsen",2500,"Chi@Dal 08:30PM ET",0.000,"Chi"
"TE","Patrick Scales",2500,"Chi@Dal 08:30PM ET",0.000,"Chi"
"TE","Greg Scruggs",2500,"Chi@Dal 08:30PM ET",0.000,"Chi"
"TE","Gavin Escobar",2500,"Chi@Dal 08:30PM ET",0.000,"Dal"
"TE","Geoff Swaim",2500,"Chi@Dal 08:30PM ET",4.000,"Dal"
"DST","Cowboys ",2500,"Chi@Dal 08:30PM ET",4.500,"Dal"
"TE","Josh Hill",2500,"Atl@NO 08:30PM ET",0.000,"NO"
"TE","Levine Toilolo",2500,"Atl@NO 08:30PM ET",2.050,"Atl"
"TE","Chris Manhertz",2500,"Atl@NO 08:30PM ET",0.000,"NO"
"TE","Joshua Perkins",2500,"Atl@NO 08:30PM ET",0,"Atl"
"TE","Austin Hooper",2500,"Atl@NO 08:30PM ET",6.900,"Atl"
"DST","Redskins ",2400,"Was@NYG 01:00PM ET",2.500,"Was"
"DST","Lions ",2400,"Det@GB 01:00PM ET",4.000,"Det"
"DST","49ers ",2400,"SF@Sea 04:05PM ET",11.500,"SF"
"DST","Colts ",2400,"SD@Ind 04:25PM ET",0.000,"Ind"
"DST","Browns ",2300,"Cle@Mia 01:00PM ET",3.000,"Cle"
"DST","Chargers ",2300,"SD@Ind 04:25PM ET",6.500,"SD"
"DST","Saints ",2200,"Atl@NO 08:30PM ET",2.500,"NO"
"DST","Falcons ",2000,"Atl@NO 08:30PM ET",0.500,"Atl"
