playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
Andrew Luck,QB,IND,QB,IND,null,21.5655,null,null,null,2,null,null,0.6971,null,null,null,23.0061,19.56,7.2902,null
Trent Richardson,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Robert Griffin,QB,CLE,QB,CLE,null,13.7584,null,null,null,29,null,null,1.9648,null,null,null,16.8586,4.82,10.801,null
Lamar Miller,RB,HOU,RB,HOU,null,17.1308,null,null,null,4,null,null,0.2991,null,null,null,19.3773,10.2618,2.556,null
LaMichael James,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Chris Polk,RB,HOU,RB,HOU,null,1.7362,null,null,null,94,null,null,0.0199,null,null,null,2.7442,0,null,null
Justin Blackmon,WR,JAC,WR,JAC,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Alshon Jeffery,WR,CHI,WR,CHI,null,16.6049,null,null,null,16,null,null,0.3714,null,null,null,18.8947,13.2562,5.8685,null
Mohamed Sanu,WR,ATL,WR,ATL,null,9.7457,null,null,null,48,null,null,0.1412,null,null,null,10.8151,7.401,5.189,null
Dwayne Allen,TE,IND,TE,IND,null,9.9212,null,null,null,14,null,null,0.4921,null,null,null,12.5296,4.81,3.8996,null
Orson Charles,TE,DET,TE,DET,null,0.1354,null,null,null,107,null,null,0.0741,null,null,null,0.2335,0,null,null
Austin Davis,QB,DEN,QB,DEN,null,0.0012,null,null,null,75,null,null,0.0012,null,null,null,0.0023,0,3.5424,null
Cory Harkey,TE,LA,TE,LA,null,0.7184,null,null,null,84,null,null,0.0769,null,null,null,1.3099,0,null,null
Brock Osweiler,QB,HOU,QB,HOU,null,17.4067,null,null,null,18,null,null,0.4229,null,null,null,18.5823,14.172,7.0171,null
Ronnie Hillman,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,4.0872,null
Alfred Morris,RB,DAL,RB,DAL,null,5.1922,null,null,null,58,null,null,0.2544,null,null,null,7.3181,2.7717,4.9166,null
Robert Turbin,RB,IND,RB,IND,null,3.5478,null,null,null,70,null,null,0.0711,null,null,null,5.0362,1.56,6.703,null
Rueben Randle,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.8431,null
Stephen Hill,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Edwin Baker,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Bernard Pierce,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Derek Carrier,TE,WAS,TE,WAS,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Chase Ford,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Deonte Thompson,WR,CHI,WR,CHI,null,0.6618,null,null,null,162,null,null,0.0338,null,null,null,0.8417,0.43,3.3024,null
Austin Johnson,RB,NO,RB,NO,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Bobby Rainey,RB,NYG,RB,NYG,null,0.4403,null,null,null,124,null,null,0.0378,null,null,null,0.5613,0.1269,5.2356,null
Adrien Robinson,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Jonathan Grimes,RB,HOU,RB,HOU,null,1.5909,null,null,null,97,null,null,0.0538,null,null,null,2.367,0.6051,8.1704,null
Daryl Richardson,RB,PIT,RB,PIT,null,1.2816,null,null,null,103,null,null,0.0204,null,null,null,2.1525,0,5.1718,null
Bryce Brown,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Garrett Celek,TE,SF,TE,SF,null,3.9368,null,null,null,43,null,null,0.0445,null,null,null,4.774,2.3446,7.1546,null
Derrick Coleman,RB,SEA,RB,SEA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Matt Simms,QB,FA,QB,FA,null,0,null,null,null,76,null,null,0,null,null,null,0,0,3.5387,null
Brian Tyms,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Phillip Supernaw,TE,TEN,TE,TEN,null,0.3726,null,null,null,96,null,null,0.043,null,null,null,0.8588,0,null,null
Chris Givens,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Nathan Palmer,WR,CHI,WR,CHI,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Joe Banyard,RB,JAC,RB,JAC,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Cole Beasley,WR,DAL,WR,DAL,null,7.3622,null,null,null,68,null,null,0.1504,null,null,null,7.9078,6.0725,5.1341,null
Lance Dunbar,RB,DAL,RB,DAL,null,3.001,null,null,null,78,null,null,0.2103,null,null,null,4.9112,0,null,null
Saalim Hakim,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Rod Streater,WR,SF,WR,SF,null,4.0211,null,null,null,105,null,null,0.2329,null,null,null,6.0591,0.72,9.8985,null
Griff Whalen,WR,FA,WR,FA,null,0.3011,null,null,null,181,null,null,0.0671,null,null,null,0.4558,0,3.6194,null
Mike Brown,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Travaris Cadet,RB,FA,RB,FA,null,0.6889,null,null,null,118,null,null,0.0225,null,null,null,1.1262,0,null,null
Sean McGrath,TE,SD,TE,SD,null,0.276,null,null,null,100,null,null,0.0116,null,null,null,0.6065,0,null,null
Josh Bellamy,WR,CHI,WR,CHI,null,3.6789,null,null,null,109,null,null,0.0602,null,null,null,6.8984,0.43,8.9021,null
Brenton Bersin,WR,CAR,WR,CAR,null,0.579,null,null,null,168,null,null,0.0159,null,null,null,0.917,0,3.7134,null
Brittan Golden,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Matt Blanchard,QB,FA,QB,FA,null,0,null,null,null,76,null,null,0,null,null,null,0,0,null,null
Damaris Johnson,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Jamize Olawale,RB,OAK,RB,OAK,null,2.2251,null,null,null,85,null,null,0.0699,null,null,null,2.7999,0.6144,16.5919,null
Cooper Helfet,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Brandon Bostick,TE,NYJ,TE,NYJ,null,0.2404,null,null,null,103,null,null,0.0328,null,null,null,0.4415,0,null,null
Jorvorskie Lane,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Josh Gordon,WR,CLE,WR,CLE,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Larry Donnell,TE,NYG,TE,NYG,null,5.5385,null,null,null,31,null,null,0.1587,null,null,null,7.8559,2.4068,5.749,null
Michael Williams,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Cameron Marshall,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Chris Gragg,TE,BUF,TE,BUF,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Cobi Hamilton,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Terrance Williams,WR,DAL,WR,DAL,null,9.1496,null,null,null,55,null,null,0.3562,null,null,null,10.5855,7,6.3103,null
Chris Pantale,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Kenbrell Thompkins,WR,FA,WR,FA,null,0.5826,null,null,null,167,null,null,0.0041,null,null,null,0.9875,0,4.4557,null
Andre Ellington,RB,ARI,RB,ARI,null,3.7371,null,null,null,69,null,null,0.2225,null,null,null,4.4507,2.4358,5.108,null
EJ Manuel,QB,BUF,QB,BUF,null,0.2273,null,null,null,58,null,null,0.014,null,null,null,0.2769,0.124,3.7235,null
Tavarres King,WR,NYG,WR,NYG,null,0.7319,null,null,null,158,null,null,0.0311,null,null,null,1.3845,0,4.3415,null
Chris Harper,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Quinton Patton,WR,SF,WR,SF,null,7.1924,null,null,null,70,null,null,0.2754,null,null,null,7.7093,5.471,5.5064,null
Aaron Dobson,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Zac Dysert,QB,FA,QB,FA,null,0,null,null,null,76,null,null,0,null,null,null,0,0,null,null
Denard Robinson,RB,JAC,RB,JAC,null,4.8472,null,null,null,61,null,null,0.1388,null,null,null,9.6506,0.59,null,null
Rex Burkhead,RB,CIN,RB,CIN,null,1.0794,null,null,null,108,null,null,0.0464,null,null,null,1.4336,0.39,null,null
Mike Glennon,QB,TB,QB,TB,null,0.6114,null,null,null,44,null,null,0.0133,null,null,null,1.1069,0.158,4.9993,null
Jake Stoneburner,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Landry Jones,QB,PIT,QB,PIT,null,0.6492,null,null,null,42,null,null,0.0195,null,null,null,1.0494,0.052,4.5127,null
Kenjon Barner,RB,PHI,RB,PHI,null,2.043,null,null,null,90,null,null,0.1029,null,null,null,3.0824,0.15,6.065,null
Markus Wheaton,WR,PIT,WR,PIT,null,9.2128,null,null,null,54,null,null,0.2236,null,null,null,11.2005,5.335,7.7393,null
Zach Line,RB,MIN,RB,MIN,null,1.4704,null,null,null,100,null,null,0.0484,null,null,null,2.3165,0.49,4.2786,null
Matt Barkley,QB,FA,QB,FA,null,0,null,null,null,76,null,null,0,null,null,null,0,0,3.5387,null
Brad Sorensen,QB,MIN,QB,MIN,null,0,null,null,null,76,null,null,0,null,null,null,0,0,null,null
Stepfan Taylor,RB,ARI,RB,ARI,null,0.3774,null,null,null,126,null,null,0.07,null,null,null,0.6183,0,null,null
Christine Michael,RB,SEA,RB,SEA,null,10.1324,null,null,null,31,null,null,0.1534,null,null,null,12.3112,3.3479,7.2772,null
Joseph Fauria,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Geno Smith,QB,NYJ,QB,NYJ,null,1.8955,null,null,null,36,null,null,0.417,null,null,null,3.9255,0.2,4.6992,null
Tavon Austin,WR,LA,WR,LA,null,12.8449,null,null,null,32,null,null,0.3032,null,null,null,15.2264,10.0797,6.2375,null
Montee Ball,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Brandon Williams,TE,SEA,TE,SEA,null,0.3108,null,null,null,98,null,null,0.0231,null,null,null,0.3681,0.25,null,null
Mike Gillislee,RB,BUF,RB,BUF,null,3.7605,null,null,null,68,null,null,0.1181,null,null,null,5.5945,0.7998,null,null
Rodney Smith,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Ryan Nassib,QB,NYG,QB,NYG,null,0.2539,null,null,null,57,null,null,0.0274,null,null,null,0.4173,0.024,3.9863,null
Marquise Goodwin,WR,BUF,WR,BUF,null,2.8606,null,null,null,122,null,null,0.3023,null,null,null,4.8831,0.0093,7.066,null
Kerwynn Williams,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Mychal Rivera,TE,OAK,TE,OAK,null,4.796,null,null,null,36,null,null,0.2657,null,null,null,5.9056,3.16,5.897,null
Marlon Brown,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Chris Thompson,RB,WAS,RB,WAS,null,7.9665,null,null,null,46,null,null,0.6126,null,null,null,10.1446,4.52,null,null
Theo Riddick,RB,DET,RB,DET,null,11.6816,null,null,null,22,null,null,0.1007,null,null,null,14.4961,7.61,3.7044,null
Fozzy Whittaker,RB,CAR,RB,CAR,null,2.3292,null,null,null,83,null,null,0.0632,null,null,null,3.2143,1.27,10.6585,null
Cordarrelle Patterson,WR,MIN,WR,MIN,null,0.8896,null,null,null,152,null,null,0.0387,null,null,null,1.5214,0.11,4.1165,null
Tyler Eifert,TE,CIN,TE,CIN,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Justin Hunter,WR,MIA,WR,MIA,null,1.1651,null,null,null,146,null,null,0.0434,null,null,null,1.5403,0.45,3.8834,null
Keenan Allen,WR,SD,WR,SD,null,17.8739,null,null,null,6,null,null,0.2542,null,null,null,20.5375,13.7931,10.5125,null
Giovani Bernard,RB,CIN,RB,CIN,null,10.6089,null,null,null,27,null,null,0.2984,null,null,null,11.333,8.7287,3.9596,null
Stedman Bailey,WR,LA,WR,LA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Zach Ertz,TE,PHI,TE,PHI,null,11.0639,null,null,null,12,null,null,1.0154,null,null,null,12.5626,8.9373,3.7516,null
Jordan Reed,TE,WAS,TE,WAS,null,15.6396,null,null,null,2,null,null,1.5759,null,null,null,18.0451,11.44,2.494,null
DeAndre Hopkins,WR,HOU,WR,HOU,null,20.4394,null,null,null,4,null,null,2.2237,null,null,null,22.0545,17.74,4.5084,null
Eddie Lacy,RB,GB,RB,GB,null,13.4954,null,null,null,14,null,null,0.3865,null,null,null,14.9385,8.9642,3.1302,null
Robert Woods,WR,BUF,WR,BUF,null,7.7563,null,null,null,67,null,null,0.4596,null,null,null,8.5678,5.4685,5.5254,null
Joseph Randle,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Tyler Bray,QB,KC,QB,KC,null,0,null,null,null,76,null,null,0,null,null,null,0,0,3.5387,null
LeVeon Bell,RB,PIT,RB,PIT,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Marquess Wilson,WR,CHI,WR,CHI,null,1.67,null,null,null,136,null,null,0.0212,null,null,null,1.67,1.67,null,null
Knile Davis,RB,KC,RB,KC,null,2.3069,null,null,null,84,null,null,0.0943,null,null,null,4.153,0.8,7.4686,null
Josh Boyce,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Dion Sims,TE,MIA,TE,MIA,null,2.6856,null,null,null,57,null,null,0.1239,null,null,null,3.6042,1,4.4174,null
Kenny Stills,WR,MIA,WR,MIA,null,8.0172,null,null,null,64,null,null,0.0883,null,null,null,10.178,5.17,6.535,null
Levine Toilolo,TE,ATL,TE,ATL,null,0.5536,null,null,null,87,null,null,0.034,null,null,null,0.8537,0,null,null
Spencer Ware,RB,KC,RB,KC,null,13.4155,null,null,null,15,null,null,0.6647,null,null,null,15.5374,11.2307,6.5754,null
Gavin Escobar,TE,DAL,TE,DAL,null,2.553,null,null,null,59,null,null,0.175,null,null,null,3.4557,1.4854,null,null
Vance McDonald,TE,SF,TE,SF,null,9.0833,null,null,null,16,null,null,0.8518,null,null,null,12.8214,6.48,4.4174,null
Mike James,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Tommy Bohanon,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Kyle Juszczyk,RB,BAL,RB,BAL,null,3.0613,null,null,null,77,null,null,0.0756,null,null,null,3.668,1.86,4.2786,null
Jack Doyle,TE,IND,TE,IND,null,4.3119,null,null,null,38,null,null,0.1362,null,null,null,5.7756,2.4887,3.3078,null
Nick Kasa,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Justice Cunningham,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Travis Kelce,TE,KC,TE,KC,null,14.3054,null,null,null,3,null,null,0.5692,null,null,null,16.6484,11.78,2.9379,null
MarQueis Gray,TE,MIA,TE,MIA,null,0.2994,null,null,null,99,null,null,0.0235,null,null,null,0.5254,0,null,null
Corey Fuller,WR,DET,WR,DET,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Sean Renfree,QB,FA,QB,FA,null,0,null,null,null,76,null,null,0,null,null,null,0,0,3.5387,null
C.J. Anderson,RB,DEN,RB,DEN,null,13.8328,null,null,null,13,null,null,0.3773,null,null,null,17.1766,10.92,3.9596,null
Zac Stacy,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Matthew Tucker,RB,PHI,RB,PHI,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Nick Williams,WR,FA,WR,FA,null,0.6237,null,null,null,164,null,null,0.0238,null,null,null,0.9442,0,4.3362,null
Darren Fells,TE,ARI,TE,ARI,null,5.4788,null,null,null,32,null,null,0.3902,null,null,null,7.5505,3.67,4.7873,null
Ifeanyi Momah,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Charles Johnson,WR,MIN,WR,MIN,null,5.224,null,null,null,91,null,null,0.0973,null,null,null,7.4388,0.86,7.3039,null
Zach Sudfeld,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Latavius Murray,RB,OAK,RB,OAK,null,14.1618,null,null,null,11,null,null,0.3224,null,null,null,15.2791,10.5414,3.0026,null
Ryan Griffin,QB,TB,QB,TB,null,0,null,null,null,76,null,null,0,null,null,null,0,0,3.5387,null
Demetrius Harris,TE,KC,TE,KC,null,2.8374,null,null,null,54,null,null,0.0588,null,null,null,5.8449,0.33,3.3078,null
Luke Willson,TE,SEA,TE,SEA,null,4.7487,null,null,null,37,null,null,0.4901,null,null,null,6.094,2.9192,5.1572,null
Justin Brown,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Ryan Griffin,TE,HOU,TE,HOU,null,4.8065,null,null,null,35,null,null,0.0341,null,null,null,5.6968,2.99,4.0475,null
Brice Butler,WR,DAL,WR,DAL,null,4.2193,null,null,null,102,null,null,0.0568,null,null,null,7.5707,1.17,8.0147,null
Kevin Dorsey,WR,NE,WR,NE,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
B.J. Daniels,QB,FA,QB,FA,null,0,null,null,null,76,null,null,0,null,null,null,0,0,null,null
B.J. Daniels,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Michael Cox,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Brian Leonhardt,TE,OAK,TE,OAK,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Benny Cunningham,RB,LA,RB,LA,null,5.2747,null,null,null,57,null,null,0.1937,null,null,null,6.2641,2.9798,4.6614,null
Tim Wright,TE,DET,TE,DET,null,0.41,null,null,null,93,null,null,0.0231,null,null,null,0.41,0.41,null,null
Kendall Gaskins,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Adam Thielen,WR,MIN,WR,MIN,null,2.1596,null,null,null,129,null,null,0.0705,null,null,null,3.224,0.46,4.6441,null
Frankie Hammond,WR,FA,WR,FA,null,0.1639,null,null,null,185,null,null,0.0204,null,null,null,0.292,0,3.2457,null
Josh Hill,TE,NO,TE,NO,null,4.146,null,null,null,40,null,null,0.1045,null,null,null,6.5628,2,5.823,null
Eric Rogers,WR,SF,WR,SF,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Myles White,WR,FA,WR,FA,null,0.46,null,null,null,173,null,null,0.0706,null,null,null,0.46,0.46,null,null
George Winn,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Rashad Ross,WR,WAS,WR,WAS,null,0.9829,null,null,null,150,null,null,0.049,null,null,null,1.3609,0.6,3.608,null
Russell Shepard,WR,TB,WR,TB,null,0.3058,null,null,null,180,null,null,0.0199,null,null,null,0.4129,0.19,3.1565,null
Jaron Brown,WR,ARI,WR,ARI,null,1.5698,null,null,null,139,null,null,0.1532,null,null,null,2.643,0.48,5.0119,null
Khiry Robinson,RB,FA,RB,FA,null,1.2796,null,null,null,104,null,null,0.05,null,null,null,1.7848,0,2.3646,null
Matt McGloin,QB,OAK,QB,OAK,null,0.6481,null,null,null,43,null,null,0.0432,null,null,null,1.291,0.048,5.2569,null
Sammy Watkins,WR,BUF,WR,BUF,null,17.0823,null,null,null,12,null,null,0.0954,null,null,null,20.4648,14.2322,8.6243,null
Johnny Manziel,QB,FA,QB,FA,null,0,null,null,null,76,null,null,0,null,null,null,0,0,null,null
Teddy Bridgewater,QB,MIN,QB,MIN,null,0,null,null,null,76,null,null,0,null,null,null,0,0,3.5387,null
Eric Ebron,TE,DET,TE,DET,null,7.4414,null,null,null,20,null,null,0.3556,null,null,null,10.4125,2,null,null
Mike Evans,WR,TB,WR,TB,null,17.3593,null,null,null,10,null,null,0.1825,null,null,null,21.1717,13.7073,6.563,null
Kelvin Benjamin,WR,CAR,WR,CAR,null,10.708,null,null,null,44,null,null,0.2867,null,null,null,13.099,7.6426,6.2778,null
Marqise Lee,WR,JAC,WR,JAC,null,5.5898,null,null,null,87,null,null,0.0374,null,null,null,7.4324,3.13,6.113,null
Blake Bortles,QB,JAC,QB,JAC,null,18.3989,null,null,null,12,null,null,0.1726,null,null,null,19.4307,17.26,5.8581,null
Jace Amaro,TE,TEN,TE,TEN,null,1.2446,null,null,null,71,null,null,0.0552,null,null,null,2.327,0.19,12.185,null
Jarvis Landry,WR,MIA,WR,MIA,null,16.6878,null,null,null,15,null,null,0.1935,null,null,null,20.7018,13.53,6.3897,null
Paul Richardson,WR,SEA,WR,SEA,null,3.356,null,null,null,115,null,null,0.128,null,null,null,3.8396,2.51,4.7269,null
Davante Adams,WR,GB,WR,GB,null,6.9404,null,null,null,71,null,null,0.0731,null,null,null,8.479,5.0031,5.7301,null
Odell Beckham,WR,NYG,WR,NYG,null,21.0034,null,null,null,3,null,null,1.505,null,null,null,22.9379,15.1482,5.562,null
